customer_id,company_name,plan_tier,status,mrr_usd,support_ticket_count,total_events,active_days,distinct_features,segment,churned
1,Rush Platform,professional,cancelled,44.25,10.0,40,37,3,Churned,True
2,TrekStack,free,paused,0.0,7.0,33,33,4,Churned,False
3,Wave Group,free,active,0.0,9.0,40,39,6,High Risk (Low Engagement + High Support),False
4,KeenSoftware,enterprise,active,82.5,4.0,45,45,3,Support Risk,False
5,QuestAnalytics,starter,active,15.83,3.0,45,43,5,Support Risk,False
6,RiftWorks,free,paused,0.0,5.0,35,33,7,Churned,False
7,PeakIO,free,active,0.0,11.0,45,43,6,Support Risk,False
8,Data Systems,free,active,0.0,3.0,44,43,6,Support Risk,False
9,Iris Hub,free,active,0.0,6.0,49,47,9,Support Risk,False
10,GlowSystems,professional,active,59.0,5.0,37,35,8,High Risk (Low Engagement + High Support),False
11,Xenon Cloud,starter,active,7.5,5.0,43,41,4,Support Risk,False
12,QuarkDev,enterprise,active,99.0,6.0,45,43,4,Support Risk,False
13,Vertex Labs,free,cancelled,0.0,1.0,33,32,4,Churned,True
14,Keen Ventures,enterprise,active,74.25,7.0,43,42,5,Support Risk,False
15,DataLogic,starter,active,12.0,5.0,39,37,4,High Risk (Low Engagement + High Support),False
16,Iris Labs,starter,active,10.0,6.0,51,50,8,Support Risk,False
17,DriftCloud,starter,active,9.6,7.0,42,41,5,Support Risk,False
18,LinkIO,professional,active,39.0,4.0,48,45,5,Support Risk,False
19,Flow Corp,professional,cancelled,32.5,3.0,37,37,8,Churned,True
20,AcmeHQ,enterprise,active,82.5,3.0,38,38,5,High Risk (Low Engagement + High Support),False
21,NexusStack,professional,active,39.0,0.0,44,42,4,Healthy,False
22,Onyx Analytics,professional,active,49.17,7.0,42,42,4,Support Risk,False
23,KitePro,starter,active,15.83,4.0,44,42,7,Support Risk,False
24,TidalStudio,starter,active,15.83,8.0,32,32,4,High Risk (Low Engagement + High Support),False
25,PulseSolutions,free,active,0.0,1.0,38,38,4,Disengaged Risk,False
26,YieldAI,enterprise,active,99.0,7.0,40,38,7,High Risk (Low Engagement + High Support),False
27,WaveStack,professional,cancelled,32.5,5.0,44,42,2,Churned,True
28,Keen Software,starter,active,19.0,2.0,40,38,5,Disengaged Risk,False
29,QuestSystems,professional,active,49.17,7.0,41,40,4,Support Risk,False
30,NexusVentures,starter,active,12.0,5.0,29,28,2,High Risk (Low Engagement + High Support),False
31,VineSolutions,professional,active,39.0,7.0,46,43,4,Support Risk,False
32,Arc Stack,starter,active,15.83,7.0,26,26,6,High Risk (Low Engagement + High Support),False
33,SageDev,professional,active,59.0,3.0,33,32,2,High Risk (Low Engagement + High Support),False
34,JadeHQ,professional,active,33.15,2.0,39,38,4,Disengaged Risk,False
35,PulseAnalytics,starter,active,10.0,6.0,33,32,7,High Risk (Low Engagement + High Support),False
36,YieldHub,professional,active,59.0,5.0,42,37,4,High Risk (Low Engagement + High Support),False
37,Flux Labs,professional,active,39.0,5.0,42,40,5,Support Risk,False
38,FlowStack,enterprise,active,82.5,2.0,48,45,4,Healthy,False
39,QuarkTech,free,active,0.0,9.0,43,39,2,High Risk (Low Engagement + High Support),False
40,PulseDigital,starter,active,10.0,6.0,32,32,2,High Risk (Low Engagement + High Support),False
41,TidalSystems,starter,active,12.0,4.0,38,38,3,High Risk (Low Engagement + High Support),False
42,KeenAI,professional,active,49.17,9.0,29,28,2,High Risk (Low Engagement + High Support),False
43,TrekDigital,free,active,0.0,4.0,42,39,4,High Risk (Low Engagement + High Support),False
44,Drift Ventures,free,active,0.0,3.0,41,39,6,High Risk (Low Engagement + High Support),False
45,JadeLabs,free,active,0.0,4.0,50,47,6,Support Risk,False
46,SagePlatform,free,active,0.0,2.0,40,35,7,Disengaged Risk,False
47,UltraSystems,starter,active,19.0,1.0,29,28,2,Disengaged Risk,False
48,SyncPlatform,enterprise,cancelled,70.12,2.0,42,40,2,Churned,True
49,EchoIO,free,active,0.0,8.0,40,38,2,High Risk (Low Engagement + High Support),False
50,Warp Corp,free,active,0.0,4.0,44,43,6,Support Risk,False
51,WarpSoftware,starter,active,15.83,3.0,51,48,6,Support Risk,False
52,Orbit Analytics,free,cancelled,0.0,2.0,41,39,8,Churned,True
53,MistPro,free,active,0.0,5.0,45,43,4,Support Risk,False
54,Orbit Ops,free,active,0.0,4.0,39,36,4,High Risk (Low Engagement + High Support),False
55,LunaVentures,professional,active,31.2,4.0,37,34,7,High Risk (Low Engagement + High Support),False
56,Flow Works,professional,active,59.0,7.0,30,29,5,High Risk (Low Engagement + High Support),False
57,OnyxHQ,professional,active,32.5,9.0,45,41,6,Support Risk,False
58,Hub HQ,starter,active,19.0,5.0,35,34,3,High Risk (Low Engagement + High Support),False
59,MistDev,starter,active,12.0,5.0,42,42,5,Support Risk,False
60,JetHQ,professional,active,59.0,5.0,41,40,4,Support Risk,False
61,UltraPro,free,cancelled,0.0,6.0,50,49,8,Churned,True
62,GridDev,starter,active,16.15,4.0,36,36,6,High Risk (Low Engagement + High Support),False
63,UltraStack,professional,cancelled,39.0,8.0,51,51,7,Churned,True
64,CoreSolutions,starter,active,10.0,0.0,46,45,8,Healthy,False
65,Yield Group,free,active,0.0,2.0,40,39,4,Disengaged Risk,False
66,EdgeHQ,free,active,0.0,3.0,50,49,5,Support Risk,False
67,Quest Logic,free,active,0.0,5.0,49,47,5,Support Risk,False
68,Quark Ops,enterprise,cancelled,82.5,3.0,43,42,5,Churned,True
69,Ion Dynamics,free,active,0.0,8.0,44,41,6,Support Risk,False
70,JetHub,professional,cancelled,39.0,8.0,43,39,4,Churned,True
71,LinkLogic,enterprise,active,199.0,9.0,35,34,4,High Risk (Low Engagement + High Support),False
72,Cloud AI,starter,active,12.0,8.0,45,43,5,Support Risk,False
73,LinkPro,starter,active,9.6,5.0,36,36,4,High Risk (Low Engagement + High Support),False
74,GridOps,starter,active,15.83,3.0,43,41,3,Support Risk,False
75,NovaTech,free,cancelled,0.0,6.0,30,30,3,Churned,True
76,Wave Platform,starter,active,10.0,6.0,35,35,3,High Risk (Low Engagement + High Support),False
77,Nexus AI,professional,active,39.0,2.0,46,44,2,Healthy,False
78,Rush Group,professional,active,59.0,3.0,41,40,5,Support Risk,False
79,PeakStack,professional,cancelled,32.5,9.0,41,40,5,Churned,True
80,JetOps,professional,active,59.0,7.0,60,56,4,Support Risk,False
81,WaveOps,professional,active,47.2,4.0,42,40,9,Support Risk,False
82,Orbit Corp,professional,active,39.0,3.0,42,41,5,Support Risk,False
